<font size="7">同时</font>	<b><font size="5">tóngshí</font></b><br>at the same time<br>simultaneously	textbook
<font size="7">以前</font>	<b><font size="5">yǐqián</font></b><br>before<br>formerly<br>previous<br>ago	textbook
<font size="7">银行</font>	<b><font size="5">yínxíng</font></b><br>bank<br>CL:家[jia1],個|个[ge4]	textbook
<font size="7">久</font>	<b><font size="5">jǐu</font></b><br>(long) time<br>(long) duration of time	textbook
<font size="7">感兴趣</font>	<b><font size="5">gǎnxīngqù</font></b><br>to be interested	textbook
<font size="7">结婚</font>	<b><font size="5">jiéhūn</font></b><br>to marry<br>to get married<br>CL:次[ci4]	textbook
<font size="7">欢迎</font>	<b><font size="5">huānyíng</font></b><br>to welcome<br>welcome	textbook
<font size="7">迟到</font>	<b><font size="5">chídào</font></b><br>to arrive late	textbook
<font size="7">半</font>	<b><font size="5">bàn</font></b><br>half<br>semi-<br>incomplete<br>(after a number) and a half	textbook
<font size="7">接</font>	<b><font size="5">jiē</font></b><br>to receive<br>to answer (the phone)<br>to meet or welcome sb<br>to connect<br>to catch<br>to join<br>to extend<br>to take one's turn on duty<br>to take over for sb	textbook
<font size="7">刻</font>	<b><font size="5">kè</font></b><br>quarter (hour)<br>moment<br>to carve<br>to engrave<br>to cut<br>oppressive<br>classifier for short time intervals	textbook
<font size="7">差</font>	<b><font size="5">chà</font></b><br>to send<br>to commission<br>messenger<br>mission	textbook
