<font size="7">又</font>	<b><font size="5">yòu</font></b><br>(once) again<br>also<br>both... and...<br>and yet<br>(used for emphasis) anyway	textbook
<font size="7">满意</font>	<b><font size="5">mǎnyì</font></b><br>satisfied<br>pleased<br>to one's satisfaction	textbook
<font size="7">电梯</font>	<b><font size="5">diàntī</font></b><br>elevator<br>escalator<br>CL:臺|台[tai2],部[bu4]	textbook
<font size="7">层</font>	<b><font size="5">céng</font></b><br>layer<br>stratum<br>laminated<br>floor (of a building)<br>storey<br>classifier for layers<br>repeated<br>sheaf (math.)	textbook
<font size="7">害怕</font>	<b><font size="5">hàipà</font></b><br>to be afraid<br>to be scared	textbook
<font size="7">熊猫</font>	<b><font size="5">xióngmāo</font></b><br>panda<br>CL:隻|只[zhi1]	textbook
<font size="7">见面</font>	<b><font size="5">jiànmiàn</font></b><br>to meet<br>to see each other<br>CL:次[ci4]	textbook
<font size="7">安静</font>	<b><font size="5">ānjìng</font></b><br>quiet<br>peaceful<br>calm	textbook
<font size="7">可乐</font>	<b><font size="5">kělè</font></b><br>amusing<br>entertaining<br>(loanword) cola	textbook
<font size="7">一会儿</font>	<b><font size="5">yīhùiér</font></b><br>a moment<br>a while<br>in a moment<br>now...now...<br>also pr. [yi1 hui3 r5]	textbook
<font size="7">马上</font>	<b><font size="5">mǎshàng</font></b><br>at once<br>right away<br>immediately<br>on horseback (i.e. by military force)	textbook
<font size="7">洗手间</font>	<b><font size="5">xǐshǒujiān</font></b><br>toilet<br>lavatory<br>washroom	textbook
<font size="7">老</font>	<b><font size="5">lǎo</font></b><br>prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity<br>old (of people)<br>venerable (person)<br>experienced<br>of long standing<br>always<br>all the time<br>of the past<br>very<br>outdated<br>(of meat etc) tough	textbook
<font size="7">几乎</font>	<b><font size="5">jīhū</font></b><br>almost<br>nearly<br>practically	textbook
<font size="7">变化</font>	<b><font size="5">biànhuà</font></b><br>change<br>variation<br>to change<br>to vary<br>CL:個|个[ge4]	textbook
<font size="7">健康</font>	<b><font size="5">jiànkāng</font></b><br>health<br>healthy	textbook
<font size="7">重要</font>	<b><font size="5">zhòngyào</font></b><br>important<br>significant<br>major	textbook
