<font size="7">图书馆</font>	<b><font size="5">túshūguǎn</font></b><br>library<br>CL:家[jia1],個|个[ge4]	textbook
<font size="7">借</font>	<b><font size="5">jiè</font></b><br>variant of 借[jie4]	textbook
<font size="7">词典</font>	<b><font size="5">cídiǎn</font></b><br>dictionary (of Chinese compound words)<br>also written 辭典|辞典[ci2 dian3]<br>CL:部[bu4],本[ben3]	textbook
<font size="7">还</font>	<b><font size="5">huán</font></b><br>to pay back<br>to return	textbook
<font size="7">灯</font>	<b><font size="5">dēng</font></b><br>lamp<br>light<br>lantern<br>CL:盞|盏[zhan3]	textbook
<font size="7">会议</font>	<b><font size="5">hùiyì</font></b><br>meeting<br>conference<br>CL:場|场[chang3],屆|届[jie4]	textbook
<font size="7">结束</font>	<b><font size="5">jiéshù</font></b><br>termination<br>to finish<br>to end<br>to conclude<br>to close	textbook
<font size="7">忘记</font>	<b><font size="5">wàngjì</font></b><br>to forget	textbook
<font size="7">空调</font>	<b><font size="5">kōngdiào</font></b><br>air conditioning<br>air conditioner (including units that have a heating mode)<br>CL:臺|台[tai2]	textbook
<font size="7">关</font>	<b><font size="5">guān</font></b><br>mountain pass<br>to close<br>to shut<br>to turn off<br>to concern<br>to involve	textbook
<font size="7">地铁</font>	<b><font size="5">dìtiě</font></b><br>subway<br>metro	textbook
<font size="7">双</font>	<b><font size="5">shuāng</font></b><br>two<br>double<br>pair<br>both<br>even (number)	textbook
<font size="7">筷子</font>	<b><font size="5">kuàizǐ</font></b><br>chopsticks<br>CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]	textbook
<font size="7">啤酒</font>	<b><font size="5">píjǐu</font></b><br>beer (loanword)<br>CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]	textbook
<font size="7">口</font>	<b><font size="5">kǒu</font></b><br>mouth<br>classifier for things with mouths (people, domestic animals, cannons, wells etc)<br>classifier for bites or mouthfuls	textbook
<font size="7">瓶子</font>	<b><font size="5">píngzǐ</font></b><br>bottle<br>CL:個|个[ge4]	textbook
<font size="7">笔记本</font>	<b><font size="5">bǐjìběn</font></b><br>notebook (stationery)<br>CL:本[ben3]<br>notebook (computing)	textbook
<font size="7">电子邮件</font>	<b><font size="5">diànzǐyóujiàn</font></b><br>email<br>CL:封[feng1],份[fen4]	textbook
<font size="7">习惯</font>	<b><font size="5">xíguàn</font></b><br>habit<br>custom<br>usual practice<br>to be used to<br>CL:個|个[ge4]	textbook
