<font size="7">眼睛</font>	<b><font size="5">yǎnjīng</font></b><br>eye<br>CL:隻|只[zhi1],雙|双[shuang1]	textbook
<font size="7">突然</font>	<b><font size="5">tūrán</font></b><br>sudden<br>abrupt<br>unexpected	textbook
<font size="7">离开</font>	<b><font size="5">líkāi</font></b><br>to depart<br>to leave	textbook
<font size="7">清楚</font>	<b><font size="5">qīngchǔ</font></b><br>clear<br>distinct<br>to understand thoroughly<br>to be clear about	textbook
<font size="7">刚才</font>	<b><font size="5">gāngcái</font></b><br>(just) a moment ago	textbook
<font size="7">帮忙</font>	<b><font size="5">bāngmáng</font></b><br>to help<br>to lend a hand<br>to do a favor<br>to do a good turn	textbook
<font size="7">特别</font>	<b><font size="5">tèbié</font></b><br>especially<br>special<br>particular<br>unusual	textbook
<font size="7">讲</font>	<b><font size="5">jiǎng</font></b><br>to speak<br>to explain<br>to negotiate<br>to emphasise<br>to be particular about<br>as far as sth is concerned<br>speech<br>lecture	textbook
<font size="7">明白</font>	<b><font size="5">míngbái</font></b><br>clear<br>obvious<br>unequivocal<br>to understand<br>to realize	textbook
<font size="7">锻炼</font>	<b><font size="5">duànliàn</font></b><br>to toughen<br>to temper<br>to engage in physical exercise<br>to work out<br>(fig.) to develop one's skills<br>to train oneself	textbook
<font size="7">音乐</font>	<b><font size="5">yīnlè</font></b><br>music<br>CL:張|张[zhang1],曲[qu3],段[duan4]	textbook
<font size="7">公园</font>	<b><font size="5">gōngyuán</font></b><br>park (for public recreation)<br>CL:個|个[ge4],座[zuo4]	textbook
<font size="7">聊天</font>	<b><font size="5">liáotiān</font></b><br>to chat<br>to gossip	textbook
<font size="7">睡着</font>	<b><font size="5">shùizháo</font></b><br>to fall asleep	textbook
<font size="7">更</font>	<b><font size="5">gèng</font></b><br>more<br>even more<br>further<br>still<br>still more	textbook
