<font size="7">发烧</font>	<b><font size="5">fāshāo</font></b><br>to have a high temperature (from illness)<br>to have a fever	textbook
<font size="7">为</font>	<b><font size="5">wèi</font></b><br>variant of 為|为[wei4], because of<br>for<br>to	textbook
<font size="7">照顾</font>	<b><font size="5">zhàogù</font></b><br>to take care of<br>to show consideration<br>to attend to<br>to look after	textbook
<font size="7">用</font>	<b><font size="5">yòng</font></b><br>to use<br>to employ<br>to have to<br>to eat or drink<br>expense or outlay<br>usefulness<br>hence<br>therefore	textbook
<font size="7">感冒</font>	<b><font size="5">gǎnmào</font></b><br>to catch cold<br>(common) cold<br>CL:場|场[chang2],次[ci4]<br>(coll.) to be interested in (often used in the negative)<br>(Tw) to detest<br>can't stand	textbook
<font size="7">季节</font>	<b><font size="5">jìjié</font></b><br>time<br>season<br>period<br>CL:個|个[ge4]	textbook
<font size="7">当然</font>	<b><font size="5">dāngrán</font></b><br>only natural<br>as it should be<br>certainly<br>of course<br>without doubt	textbook
<font size="7">春</font>	<b><font size="5">chūn</font></b><br>spring (time)<br>gay<br>joyful<br>youthful<br>love<br>lust<br>life	textbook
<font size="7">草</font>	<b><font size="5">cǎo</font></b><br>variant of 肏[cao4]	textbook
<font size="7">夏</font>	<b><font size="5">xià</font></b><br>summer	textbook
<font size="7">裙子</font>	<b><font size="5">qúnzǐ</font></b><br>skirt<br>CL:條|条[tiao2]	textbook
<font size="7">最近</font>	<b><font size="5">zùijìn</font></b><br>recent<br>recently<br>these days<br>latest<br>soon<br>nearest (of locations)<br>shortest (of routes)	textbook
<font size="7">越</font>	<b><font size="5">yuè</font></b><br>to exceed<br>to climb over<br>to surpass<br>the more... the more	textbook
