<font size="7">向</font>	<b><font size="5">xiàng</font></b><br>variant of 向[xiang4]<br>direction<br>orientation<br>to face<br>to turn toward<br>to<br>towards<br>shortly before<br>formerly	textbook
<font size="7">万</font>	<b><font size="5">wàn</font></b><br>ten thousand<br>a great number	textbook
<font size="7">只</font>	<b><font size="5">zhǐ</font></b><br>classifier for birds and certain animals, one of a pair, some utensils, vessels etc	textbook
<font size="7">嘴</font>	<b><font size="5">zǔi</font></b><br>mouth<br>beak<br>nozzle<br>spout (of teapot etc)<br>CL:張|张[zhang1],個|个[ge4]	textbook
<font size="7">动物</font>	<b><font size="5">dòngwù</font></b><br>animal<br>CL:隻|只[zhi1],群[qun2],個|个[ge4]	textbook
<font size="7">段</font>	<b><font size="5">duàn</font></b><br>paragraph<br>section<br>segment<br>stage (of a process)<br>classifier for stories, periods of time, lengths of thread etc	textbook
<font size="7">不但</font>	<b><font size="5">bùdàn</font></b><br>not only (... but also...)	textbook
<font size="7">有名</font>	<b><font size="5">yǒumíng</font></b><br>famous<br>well-known	textbook
<font size="7">同意</font>	<b><font size="5">tóngyì</font></b><br>to agree<br>to consent<br>to approve	textbook
<font size="7">相信</font>	<b><font size="5">xiāngxìn</font></b><br>to be convinced (that sth is true)<br>to believe<br>to accept sth as true	textbook
<font size="7">关于</font>	<b><font size="5">guānyú</font></b><br>pertaining to<br>concerning<br>with regard to<br>about<br>a matter of	textbook
<font size="7">机会</font>	<b><font size="5">jīhùi</font></b><br>opportunity<br>chance<br>occasion<br>CL:個|个[ge4]	textbook
<font size="7">国家</font>	<b><font size="5">guójiā</font></b><br>country<br>nation<br>state<br>CL:個|个[ge4]	textbook
<font size="7">种</font>	<b><font size="5">zhǒng</font></b><br>to plant<br>to grow<br>to cultivate	textbook
<font size="7">特点</font>	<b><font size="5">tèdiǎn</font></b><br>characteristic (feature)<br>trait<br>feature<br>CL:個|个[ge4]	textbook
<font size="7">奇怪</font>	<b><font size="5">qíguài</font></b><br>strange<br>odd<br>to marvel<br>to be baffled	textbook
<font size="7">地</font>	<b><font size="5">dì</font></b><br>earth<br>ground<br>field<br>place<br>land<br>CL:片[pian4]	textbook
