<font size="7">终于</font>	<b><font size="5">zhōngyú</font></b><br>at last<br>in the end<br>finally<br>eventually	textbook
<font size="7">爷爷</font>	<b><font size="5">yéyé</font></b><br>(coll.) father's father<br>paternal grandfather<br>CL:個|个[ge4]	textbook
<font size="7">礼物</font>	<b><font size="5">lǐwù</font></b><br>gift<br>present<br>CL:件[jian4],個|个[ge4],份[fen4]	textbook
<font size="7">奶奶</font>	<b><font size="5">nǎinǎi</font></b><br>(informal) grandma (paternal grandmother)<br>(respectful) mistress of the house<br>CL:位[wei4]<br>(coll.) boobies<br>breasts	textbook
<font size="7">遇到</font>	<b><font size="5">yùdào</font></b><br>to meet<br>to run into<br>to come across	textbook
<font size="7">一边</font>	<b><font size="5">yībiān</font></b><br>one side<br>either side<br>on the one hand<br>on the other hand<br>doing while	textbook
<font size="7">过去</font>	<b><font size="5">guòqù</font></b><br>(verb suffix)	textbook
<font size="7">一般</font>	<b><font size="5">yībān</font></b><br>same<br>ordinary<br>so-so<br>common<br>general<br>generally<br>in general	textbook
<font size="7">愿意</font>	<b><font size="5">yuànyì</font></b><br>to wish<br>to want<br>ready<br>willing (to do sth)	textbook
<font size="7">起来</font>	<b><font size="5">qǐlái</font></b><br>(after a verb) indicating the beginning and continuation of an action or a state<br>indicating an upward movement (e.g. after 站[zhan4])<br>bringing things together (e.g. after 收拾[shou1 shi5])<br>(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment<br>also pr. [qi3 lai5]	textbook
<font size="7">应该</font>	<b><font size="5">yìnggāi</font></b><br>ought to<br>should<br>must	textbook
<font size="7">生活</font>	<b><font size="5">shēnghuó</font></b><br>life<br>activity<br>to live<br>livelihood	textbook
<font size="7">校长</font>	<b><font size="5">xiàocháng</font></b><br>(college, university) president<br>headmaster<br>CL:個|个[ge4],位[wei4],名[ming2]	textbook
<font size="7">坏</font>	<b><font size="5">huài</font></b><br>bad<br>spoiled<br>broken<br>to break down<br>(suffix) to the utmost	textbook
<font size="7">经常</font>	<b><font size="5">jīngcháng</font></b><br>frequently<br>constantly<br>regularly<br>often<br>day-to-day<br>everyday<br>daily	textbook
