<font size="7">太阳</font>	<b><font size="5">tàiyáng</font></b><br>sun<br>CL:個|个[ge4]<br>abbr. for 太陽穴|太阳穴[tai4 yang2 xue2]	textbook
<font size="7">西</font>	<b><font size="5">xī</font></b><br>west	textbook
<font size="7">生气</font>	<b><font size="5">shēngqì</font></b><br>to get angry<br>to take offense<br>angry<br>vitality<br>liveliness	textbook
<font size="7">行李箱</font>	<b><font size="5">xínglǐxiāng</font></b><br>suitcase<br>baggage compartment<br>overhead bin<br>(car) trunk<br>boot	textbook
<font size="7">自己</font>	<b><font size="5">zìjǐ</font></b><br>oneself<br>one's own	textbook
<font size="7">包</font>	<b><font size="5">bāo</font></b><br>to cover<br>to wrap<br>to hold<br>to include<br>to take charge of<br>to contract (to or for)<br>package<br>wrapper<br>container<br>bag<br>to hold or embrace<br>bundle<br>packet<br>CL:個|个[ge4],隻|只[zhi1]	textbook
<font size="7">发现</font>	<b><font size="5">fāxiàn</font></b><br>to find<br>to discover	textbook
<font size="7">护照</font>	<b><font size="5">hùzhào</font></b><br>passport<br>CL:本[ben3],個|个[ge4]	textbook
<font size="7">起飞</font>	<b><font size="5">qǐfēi</font></b><br>(of an aircraft) to take off	textbook
<font size="7">司机</font>	<b><font size="5">sījī</font></b><br>chauffeur<br>driver<br>CL:個|个[ge4]	textbook
<font size="7">教</font>	<b><font size="5">jiào</font></b><br>religion<br>teaching<br>to make<br>to cause<br>to tell	textbook
<font size="7">画</font>	<b><font size="5">huà</font></b><br>to draw<br>picture<br>painting<br>CL:幅[fu2],張|张[zhang1]<br>classifier for paintings etc<br>variant of 劃|划[hua4]	textbook
<font size="7">需要</font>	<b><font size="5">xūyào</font></b><br>to need<br>to want<br>to demand<br>to require<br>requirement<br>need	textbook
<font size="7">黑板</font>	<b><font size="5">hēibǎn</font></b><br>blackboard<br>CL:塊|块[kuai4],個|个[ge4]	textbook
