<font size="7">中文</font>	<b><font size="5">zhōngwén</font></b><br>Chinese language	textbook
<font size="7">班</font>	<b><font size="5">bān</font></b><br>team<br>class<br>squad<br>work shift<br>ranking<br>CL:個|个[ge4]<br>classifier for groups	textbook
<font size="7">一样</font>	<b><font size="5">yīyáng</font></b><br>same<br>like<br>equal to<br>the same as<br>just like	textbook
<font size="7">最后</font>	<b><font size="5">zùihòu</font></b><br>final<br>last<br>finally<br>ultimate	textbook
<font size="7">放心</font>	<b><font size="5">fàngxīn</font></b><br>to feel relieved<br>to feel reassured<br>to be at ease	textbook
<font size="7">一定</font>	<b><font size="5">yīdìng</font></b><br>surely<br>certainly<br>necessarily<br>fixed<br>a certain (extent etc)<br>given<br>particular<br>must	textbook
<font size="7">担心</font>	<b><font size="5">dànxīn</font></b><br>anxious<br>worried<br>uneasy<br>to worry<br>to be anxious	textbook
<font size="7">比较</font>	<b><font size="5">bǐjiào</font></b><br>to compare<br>to contrast<br>comparatively<br>relatively<br>quite<br>comparison	textbook
<font size="7">了解</font>	<b><font size="5">lejiě</font></b><br>to understand<br>to realize<br>to find out	textbook
<font size="7">先</font>	<b><font size="5">xiān</font></b><br>early<br>prior<br>former<br>in advance<br>first	textbook
<font size="7">中间</font>	<b><font size="5">zhōngjiān</font></b><br>between<br>intermediate<br>mid<br>middle	textbook
<font size="7">参加</font>	<b><font size="5">cānjiā</font></b><br>to participate<br>to take part<br>to join	textbook
<font size="7">影响</font>	<b><font size="5">yǐngxiǎng</font></b><br>influence<br>effect<br>to influence<br>to affect (usually adversely)<br>to disturb<br>CL:股[gu3]	textbook
