<font size="7">法律</font>	<b><font size="5">fǎlv̀</font></b><br>law<br>CL:條|条[tiao2], 套[tao4], 個|个[ge4]	textbook,lesson_1
<font size="7">俩</font>	<b><font size="5">liǎ</font></b><br>two (colloquial equivalent of 兩個|两个)<br>both<br>some	textbook,lesson_1
<font size="7">印象</font>	<b><font size="5">yìnxiàng</font></b><br>impression	textbook,lesson_1
<font size="7">深</font>	<b><font size="5">shēn</font></b><br>deep<br>depth<br>deeply<br>(of a color) dark<br>deep<br>rich	textbook,lesson_1
<font size="7">熟悉</font>	<b><font size="5">shúxī</font></b><br>to be familiar with<br>to know well	textbook,lesson_1
<font size="7">不仅</font>	<b><font size="5">bùjǐn</font></b><br>not only (this one)<br>not just (...) but also	textbook,lesson_1
<font size="7">性格</font>	<b><font size="5">xìnggé</font></b><br>nature<br>disposition<br>temperament<br>character<br>CL:個|个[ge4]	textbook,lesson_1
<font size="7">生活</font>	<b><font size="5">shēnghuó</font></b><br>life<br>activity<br>to live<br>livelihood	textbook,lesson_1
<font size="7">刚</font>	<b><font size="5">gāng</font></b><br>hard<br>firm<br>strong<br>just<br>barely<br>exactly	textbook,lesson_1
<font size="7">浪漫</font>	<b><font size="5">làngmàn</font></b><br>romantic	textbook,lesson_1
<font size="7">够</font>	<b><font size="5">gòu</font></b><br>enough (sufficient)<br>enough (too much)<br>(coll.) (before adj.) really<br>(coll.) to reach by stretching out	textbook,lesson_1
<font size="7">缺点</font>	<b><font size="5">quēdiǎn</font></b><br>weak point<br>fault<br>shortcoming<br>disadvantage<br>CL:個|个[ge4]	textbook,lesson_1
<font size="7">接受</font>	<b><font size="5">jiēshòu</font></b><br>to accept<br>to receive	textbook,lesson_1
<font size="7">羡慕</font>	<b><font size="5">xiànmù</font></b><br>to envy<br>to admire	textbook,lesson_1
<font size="7">爱情</font>	<b><font size="5">àiqíng</font></b><br>romance<br>love (romantic)<br>CL:個|个[ge4],份[fen4]	textbook,lesson_1
<font size="7">星星</font>	<b><font size="5">xīngxīng</font></b><br>star in the sky	textbook,lesson_1
<font size="7">即使</font>	<b><font size="5">jíshǐ</font></b><br>even if<br>even though	textbook,lesson_1
