<font size="7">自然</font>	<b><font size="5">zìrán</font></b><br>nature<br>natural<br>naturally	
<font size="7">原因</font>	<b><font size="5">yuányīn</font></b><br>cause<br>origin<br>root cause<br>reason<br>CL:個|个[ge4]	
<font size="7">吸引</font>	<b><font size="5">xīyǐn</font></b><br>to attract (interest, investment etc)<br>CL:個|个[ge4]	
<font size="7">脾气</font>	<b><font size="5">píqì</font></b><br>character<br>temperament<br>disposition<br>bad temper<br>CL:個|个[ge4]	
<font size="7">坏脾气</font>	<b><font size="5">huàipíqì</font></b><br>bad temper	
<font size="7">发脾气</font>	<b><font size="5">fāpíqì</font></b><br>to get angry	
<font size="7">容易</font>	<b><font size="5">róngyì</font></b><br>easy<br>likely<br>liable (to)	
<font size="7">互相</font>	<b><font size="5">hùxiāng</font></b><br>each other<br>mutually<br>mutual	
<font size="7">经常</font>	<b><font size="5">jīngcháng</font></b><br>frequently<br>constantly<br>regularly<br>often<br>day-to-day<br>everyday<br>daily	
<font size="7">不管</font>	<b><font size="5">bùguǎn</font></b><br>no matter (what, how)<br>regardless of<br>no matter	
<font size="7">生气</font>	<b><font size="5">shēngqì</font></b><br>to get angry<br>to take offense<br>angry<br>vitality<br>liveliness	
<font size="7">容易</font>	<b><font size="5">róngyì</font></b><br>easy<br>likely<br>liable (to)	
<font size="7">笑眯眯</font>	<b><font size="5">xiàomǐmǐ</font></b><br>beaming<br>all smiles	
<font size="7">影响</font>	<b><font size="5">yǐngxiǎng</font></b><br>influence<br>effect<br>to influence<br>to affect (usually adversely)<br>to disturb<br>CL:股[gu3]	
<font size="7">方面</font>	<b><font size="5">fāngmiàn</font></b><br>respect<br>aspect<br>field<br>side<br>CL:個|个[ge4]	
<font size="7">性格</font>	<b><font size="5">xìnggé</font></b><br>nature<br>disposition<br>temperament<br>character<br>CL:個|个[ge4]	
<font size="7">几乎</font>	<b><font size="5">jīhū</font></b><br>almost<br>nearly<br>practically	
<font size="7">嘴</font>	<b><font size="5">zǔi</font></b><br>mouth<br>beak<br>nozzle<br>spout (of teapot etc)<br>CL:張|张[zhang1],個|个[ge4]	
<font size="7">变</font>	<b><font size="5">biàn</font></b><br>to change<br>to become different<br>to transform<br>to vary<br>rebellion	
