<font size="7">法律</font>	<b><font size="5">fǎlv̀</font></b><br>law<br>CL:條|条[tiao2], 套[tao4], 個|个[ge4]	textbook
<font size="7">俩</font>	<b><font size="5">liǎ</font></b><br>two (colloquial equivalent of 兩個|两个)<br>both<br>some	textbook
<font size="7">印象</font>	<b><font size="5">yìnxiàng</font></b><br>impression	textbook
<font size="7">深</font>	<b><font size="5">shēn</font></b><br>deep<br>depth<br>deeply<br>(of a color) dark<br>deep<br>rich	textbook
<font size="7">熟悉</font>	<b><font size="5">shúxī</font></b><br>to be familiar with<br>to know well	textbook
<font size="7">不仅</font>	<b><font size="5">bùjǐn</font></b><br>not only (this one)<br>not just (...) but also	textbook
<font size="7">性格</font>	<b><font size="5">xìnggé</font></b><br>nature<br>disposition<br>temperament<br>character<br>CL:個|个[ge4]	textbook
<font size="7">生活</font>	<b><font size="5">shēnghuó</font></b><br>life<br>activity<br>to live<br>livelihood	textbook
<font size="7">刚</font>	<b><font size="5">gāng</font></b><br>hard<br>firm<br>strong<br>just<br>barely<br>exactly	textbook
<font size="7">浪漫</font>	<b><font size="5">làngmàn</font></b><br>romantic	textbook
<font size="7">够</font>	<b><font size="5">gòu</font></b><br>enough (sufficient)<br>enough (too much)<br>(coll.) (before adj.) really<br>(coll.) to reach by stretching out	textbook
<font size="7">缺点</font>	<b><font size="5">quēdiǎn</font></b><br>weak point<br>fault<br>shortcoming<br>disadvantage<br>CL:個|个[ge4]	textbook
<font size="7">接受</font>	<b><font size="5">jiēshòu</font></b><br>to accept<br>to receive	textbook
<font size="7">羡慕</font>	<b><font size="5">xiànmù</font></b><br>to envy<br>to admire	textbook
<font size="7">爱情</font>	<b><font size="5">àiqíng</font></b><br>romance<br>love (romantic)<br>CL:個|个[ge4],份[fen4]	textbook
<font size="7">星星</font>	<b><font size="5">xīngxīng</font></b><br>star in the sky	textbook
<font size="7">即使</font>	<b><font size="5">jíshǐ</font></b><br>even if<br>even though	textbook
<font size="7">加班</font>	<b><font size="5">jiābān</font></b><br>to work overtime	textbook
<font size="7">亮</font>	<b><font size="5">liàng</font></b><br>bright<br>clear<br>resonant<br>to shine<br>to show<br>to reveal	textbook
<font size="7">感动</font>	<b><font size="5">gǎndòng</font></b><br>to move (sb)<br>to touch (sb emotionally)<br>moving	textbook
<font size="7">简单</font>	<b><font size="5">jiǎndān</font></b><br>simple<br>not complicated	
<font size="7">情人</font>	<b><font size="5">qíngrén</font></b><br>lover<br>sweetheart	
<font size="7">亲情</font>	<b><font size="5">qīnqíng</font></b><br>affection<br>family love<br>love, esp. within a married couple or between parents and children	
<font size="7">最后</font>	<b><font size="5">zùihòu</font></b><br>final<br>last<br>finally<br>ultimate	
<font size="7">浅</font>	<b><font size="5">qiǎn</font></b><br>shallow<br>light (color)	
<font size="7">计划</font>	<b><font size="5">jìhuá</font></b><br>plan<br>project<br>program<br>to plan<br>to map out<br>CL:個|个[ge4],項|项[xiang4]	
<font size="7">离开</font>	<b><font size="5">líkāi</font></b><br>to depart<br>to leave	
<font size="7">记者</font>	<b><font size="5">jìzhě</font></b><br>reporter<br>journalist<br>CL:個|个[ge4]	
<font size="7">预报</font>	<b><font size="5">yùbào</font></b><br>forecast	
<font size="7">夫妻</font>	<b><font size="5">fūqī</font></b><br>husband and wife<br>married couple	
<font size="7">合适</font>	<b><font size="5">héshì</font></b><br>suitable<br>fitting<br>appropriate	
<font size="7">适合</font>	<b><font size="5">shìhé</font></b><br>to fit<br>to suit	
<font size="7">经常</font>	<b><font size="5">jīngcháng</font></b><br>frequently<br>constantly<br>regularly<br>often<br>day-to-day<br>everyday<br>daily	
<font size="7">突然</font>	<b><font size="5">tūrán</font></b><br>sudden<br>abrupt<br>unexpected	
<font size="7">踢</font>	<b><font size="5">tī</font></b><br>to kick<br>to play (e.g. soccer)	
<font size="7">新闻</font>	<b><font size="5">xīnwén</font></b><br>news<br>CL:條|条[tiao2],個|个[ge4]	
<font size="7">班</font>	<b><font size="5">bān</font></b><br>team<br>class<br>squad<br>work shift<br>ranking<br>CL:個|个[ge4]<br>classifier for groups	
<font size="7">学校</font>	<b><font size="5">xuéxiào</font></b><br>school<br>CL:所[suo3]	
<font size="7">兴趣</font>	<b><font size="5">xīngqù</font></b><br>interest (desire to know about sth)<br>interest (thing in which one is interested)<br>hobby<br>CL:個|个[ge4]	
<font size="7">从来</font>	<b><font size="5">cónglái</font></b><br>always<br>at all times<br>never (if used in negative sentence)	
<font size="7">共同</font>	<b><font size="5">gòngtóng</font></b><br>common<br>joint<br>jointly<br>together<br>collaborative	
<font size="7">幸福</font>	<b><font size="5">xìngfú</font></b><br>happiness<br>happy<br>blessed	
